age,employment,income,location,has_medical_aid,heard_of_nmc,nmc_products_known,nmc_impression,knows_cost,why_no_medical_aid,likelihood_to_sign_up,what_would_make_sign_up,willingness_to_pay,benefits_wanted,open_text,sentiment
25-30,Self-employed,"Under N$5,000",Other urban area,No,Yes,None of the above,I have never heard of them,"No, I have no idea",Too expensive,5.0,A promotional offer or incentive,Under N$500,Doctor visits;Dental;Emergency cover,"Yes
",Neutral
18-24,Student,"N$5,000 - N$10,000",Khomas Region,Yes,Yes,Topaz;Emerald;Amber;Opal;Jade;Ruby,Neutral,"No, I have no idea",,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Emergency cover,Finances ,Neutral
25-30,Employed full-time,Prefer not to say,Other urban area,Yes,No,,,I have heard figures but I am not sure,,,A recommendation from someone I trust,Under N$500,Hospitalisation,They don’t have much knowledge about it,Positive
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,No,None of the above,,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Maternity cover,Expensive ,Negative
18-24,Unemployed,Prefer not to say,Khomas Region,No,Yes,Opal;Emerald Plus,Neutral,"No, I have no idea",Too expensive,3.0,Lower monthly cost,Under N$500,Doctor visits;Dental,No enough capital ,Neutral
31-35,Self-employed,"N$10,000 - N$25,000",Khomas Region,No,Yes,None of the above,Very positive,I have heard figures but I am not sure,Simpler information on what each package offered. Information overload ,5.0,Lower monthly cost;A better understanding of the benefits;More flexible or customisable plan;A recommendation from someone I trust,"N$500 - N$1,000",Doctor visits;Dental;Optical,The information around which package might work for them. Perhaps a simple marketing campaign to break all of them with top benefits ,Positive
25-30,Employed part-time,"Under N$5,000",Rural area,No,No,,,I have heard figures but I am not sure,My employer does not offer it,3.0,Lower monthly cost;A better understanding of the benefits;More flexible or customisable plan;A recommendation from someone I trust;A promotional offer or incentive,Under N$500,Doctor visits;Hospitalisation;Dental;Maternity cover;Emergency cover,We do not understand it clearly and we don't have proper people to elaborate it to us.,Positive
25-30,Employed full-time,"N$5,000 - N$10,000",Other urban area,No,Yes,Topaz Plus;Jade,Neutral,I have heard figures but I am not sure,Too expensive;My employer does not offer it,4.0,My employer covering part or all of the cost;More flexible or customisable plan,Under N$500,Doctor visits;Hospitalisation;Optical;Maternity cover,The bettter plans are quite expensive and the is a number of youth being underpaid that they can afford. ,Negative
25-30,Self-employed,"N$10,000 - N$25,000",Khomas Region,No,Yes,None of the above,Somewhat positive,I have heard figures but I am not sure,I am young and healthy - I do not need it yet,3.0,More flexible or customisable plan,Under N$500,Hospitalisation;Dental;Emergency cover,"Not enough information is provided to those who can afford. And for many, it is deemed a luxury because of the monthly payments that have to be made regardless of your health condition.",Positive
25-30,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Amber,Neutral,"Yes, I have a good idea",,,,,Doctor visits;Dental;Optical,"If they are unemployed, then it's costs.",Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,None of the above,I have never heard of them,"No, I have no idea",My employer does not offer it,1.0,Other,I would not pay for it at all,Doctor visits;Dental,"It's a scam, most medical aid options are limited to consultation or visits examples dental,most only offer 2 or 3 per year and we paying alot for that ",Positive
25-30,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,Yes,None of the above,I have never heard of them,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Optical,"No specific reason, unless they are unemployed ",Neutral
25-30,Unemployed,Prefer not to say,Khomas Region,No,No,,,I have heard figures but I am not sure,I use alternatives like cash or pay for health insurance;On short-term contract which does not offer medical aid,3.0,A better understanding of the benefits;More flexible or customisable plan,Under N$500,Doctor visits;Maternity cover;Emergency cover,"Many young Namibians avoid medical aid because it feels too expensive compared to their income, and they often feel healthy so they don’t see the need for it yet.",Positive
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Maybe,None of the above,Neutral,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Emergency cover,Because it is pricey especially for young Namibians that do not work for the government ,Positive
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,No,No,None of the above,I have never heard of them,"No, I have no idea",Too expensive,1.0,Lower monthly cost,"N$500 - N$1,000",Optical,Because it’s expensive ,Negative
31-35,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Amber;Jade;Ruby,Neutral,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Maternity cover,High costs ,Positive
31-35,Employed part-time,"Under N$5,000",Other urban area,No,Yes,,,"No, I have no idea",Too expensive,1.0,Lower monthly cost,I would not pay for it at all,Chronic medication,Payments ,Neutral
25-30,Unemployed,Prefer not to say,Khomas Region,No,Yes,Jade,Very positive,I have heard figures but I am not sure,,1.0,My employer covering part or all of the cost,Under N$500,Maternity cover,"Because it’s expensive, and we hardly use it unless we get pregnant ",Negative
25-30,Employed full-time,"Above N$20,000",Other urban area,Yes,Yes,None of the above,Neutral,I have heard figures but I am not sure,,,,,Hospitalisation;Chronic medication;Emergency cover,It’s expensive or lack of awareness on packages availability and affordability.,Negative
31-35,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,Yes,Topaz;Jade;Ruby,Very positive,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Mental health support,Unemployment or because they are generally underpaid. Some avoids medical aid because they are satisfied with state medical assistance. ,Positive
25-30,Self-employed,"N$10,000 - N$25,000",Other urban area,No,No,,,"No, I have no idea",Too expensive,5.0,A recommendation from someone I trust,Under N$500,Maternity cover,Financial problems ,Neutral
18-24,Unemployed,Prefer not to say,Other urban area,No,Yes,Topaz Plus,Very positive,"Yes, I have a good idea",I have never thought about it,3.0,My employer covering part or all of the cost,Under N$500,Mental health support,Its to expensive for someone's that doesn't work ,Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,No,,I have never heard of them,"Yes, I have a good idea",,,Lower monthly cost;A better understanding of the benefits,,Doctor visits;Hospitalisation;Dental;Emergency cover,Not enough monthly salary ,Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,No,,,"Yes, I have a good idea",,,,,Doctor visits;Dental;Emergency cover,Most of them can't afford and they have a great understanding about it.,Positive
18-24,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,No,,,"Yes, I have a good idea",,,,,Maternity cover,"I guess they avoid this due to its expenses, they do not want to spend money on their health, with an impression that they can still get it for free. This also has do with black tax and a lot of responsibility they are just trying to save money.",Positive
18-24,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,No,,,"Yes, I have a good idea",,,,,Maternity cover,"I guess they avoid this due to its expenses, they do not want to spend money on their health, with an impression that they can still get it for free. This also has do with black tax and a lot of responsibility they are just trying to save money.",Positive
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,No,Yes,Ruby,Neutral,"No, I have no idea",Too expensive;On short-term contract which does not offer medical aid,1.0,Lower monthly cost;More flexible or customisable plan,Under N$500,Doctor visits;Emergency cover,Just because it’s costly but overall it’s beneficial. ,Neutral
25-30,Employed part-time,Prefer not to say,Other urban area,No,Maybe,None of the above,,"No, I have no idea",My employer does not offer it;On short-term contract which does not offer medical aid,1.0,My employer covering part or all of the cost,"N$500 - N$1,000",Dental;Maternity cover;Emergency cover,Lack of funds,Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,Yes,Emerald Plus,Somewhat positive,"Yes, I have a good idea",,,,Under N$500,Dental,Due to lack of information about it,Negative
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Emerald;Ruby,Very positive,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Chronic medication,"Costs are high
",Positive
18-24,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Amber;Jade;Ruby,Very positive,"Yes, I have a good idea",,,,,Chronic medication;Optical;Mental health support,The monthly costs are too high,Positive
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,None of the above,,I have heard figures but I am not sure,,,,,Hospitalisation;Chronic medication;Emergency cover,lack of jobs thus they avoid paying because they have no money. Also it's expensive ,Negative
25-30,Employed part-time,"N$10,000 - N$25,000",Rural area,No,No,,,I have heard figures but I am not sure,My employer does not offer it;I use alternatives like cash or pay for health insurance,5.0,My employer covering part or all of the cost;A promotional offer or incentive,Under N$500,Doctor visits;Chronic medication;Emergency cover,Because sometimes its too expensive. ,Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Chronic medication,They are not exposed to the benefits and some are afraid of costs.,Negative
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,Yes,Yes,None of the above,I have never heard of them,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Dental,Because it is expensive ,Negative
25-30,Employed full-time,"Above N$20,000",Other urban area,Yes,Yes,None of the above,I have never heard of them,"Yes, I have a good idea",,,,,Doctor visits,Not affordable ,Neutral
18-24,Student,Prefer not to say,Khomas Region,No,Yes,Amber,Neutral,I have heard figures but I am not sure,Too expensive,4.0,A better understanding of the benefits,"N$500 - N$1,000",Dental,"its very cost
",Positive
31-35,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald Plus,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Emergency cover,Because it’s too expensive if your company or organization does not offer it as a benefit. ,Negative
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,No,Yes,None of the above,Neutral,I have heard figures but I am not sure,Waiting on the offer,4.0,My employer covering part or all of the cost,"N$1,000 - N$2,000",Doctor visits;Hospitalisation;Dental,Finances,Neutral
25-30,Student,Prefer not to say,Rural area,No,No,,,I have heard figures but I am not sure,I use alternatives like cash or pay for health insurance,5.0,A better understanding of the benefits,"N$500 - N$1,000",Doctor visits;Dental;Emergency cover,Too expensive ,Negative
25-30,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Topaz;Emerald;Amber;Opal;Jade;Emerald Plus,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,"Most young people are self employed, and can’t afford medical.",Positive
25-30,Employed full-time,"Above N$20,000",Other urban area,Yes,Yes,Ruby,Somewhat positive,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Emergency cover,It is expensive ,Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz Plus,Somewhat negative,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Chronic medication,"it is avoided because without cover from your employer, it is extremely expensive & young namibians think they can do without it",Negative
31-35,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Emerald;Amber,Very positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Maternity cover;Emergency cover,It’s too expensive ,Negative
31-35,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,No,None of the above,I have never heard of them,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,Because the can always medical help from public hospitals ,Neutral
18-24,Employed part-time,"N$5,000 - N$10,000",Khomas Region,No,Yes,None of the above,Somewhat positive,I have heard figures but I am not sure,Too expensive;My employer does not offer it;On short-term contract which does not offer medical aid,5.0,My employer covering part or all of the cost;More flexible or customisable plan,Under N$500,Doctor visits;Hospitalisation;Dental;Maternity cover;Emergency cover,I think its because its expensive,Negative
25-30,Employed full-time,"Above N$20,000",Other urban area,Yes,Yes,Topaz;Jade;Ruby,Neutral,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,The costs. Minimum premiums are affordable however they do not cover most of the important things. ,Positive
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,No,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby,Neutral,"Yes, I have a good idea",Too expensive,3.0,Lower monthly cost;My employer covering part or all of the cost,Under N$500,Doctor visits;Hospitalisation;Dental;Optical;Mental health support,"BECAUSE EVEN IF I WORK I CANT AFFORD IT, THE OPTIONS THAT COST 1500 HARDLY COVER WHAT YOU NEED AND I CANT AFFORD TO EVEN COVER MY ELDERLY PARENTS AND YOUNGER SIBLINGS ",Negative
25-30,Unemployed,"N$5,000 - N$10,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Optical,Young Namibians avoid medical aid due to its high cost and the perception that it is unnecessary if they are generally healthy.,Positive
25-30,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Neutral,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,Expensive ,Negative
25-30,Self-employed,"N$5,000 - N$10,000",Khomas Region,No,Yes,Emerald,Very positive,"Yes, I have a good idea",I am young and healthy - I do not need it yet,5.0,Lower monthly cost,"N$500 - N$1,000",Doctor visits,So that they can know hoe theyer health is,Neutral
18-24,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,Yes,Jade,Somewhat positive,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support,It is considered expensive to people who hardly get sick ,Negative
18-24,Employed full-time,"N$10,000 - N$25,000",Khomas Region,No,Yes,,,,On short-term contract which does not offer medical aid,3.0,My employer covering part or all of the cost,Under N$500,Dental;Optical;Maternity cover;Emergency cover,"Many young Namibians avoid medical aid because it’s often seen as too expensive relative to their income, especially when they’re generally healthy and don’t expect to need frequent care. There’s also a perception that the benefits aren’t immediately valuable, leading them to prioritize more urgent financial needs.",Positive
31-35,Self-employed,"N$5,000 - N$10,000",Khomas Region,No,No,None of the above,I have never heard of them,"No, I have no idea",I do not fully understand how it works;My employer does not offer it;I have never thought about it;On short-term contract which does not offer medical aid,1.0,Lower monthly cost;A better understanding of the benefits;More flexible or customisable plan,"N$500 - N$1,000",Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Mental health support;Emergency cover,"To expensive and dont have lower payment plans and if they do have they are usually no sense  doesn't cover the basic needs

",Negative
25-30,Unemployed,Prefer not to say,Khomas Region,No,Yes,Topaz;Topaz Plus;Emerald;Jade;Ruby,Neutral,"Yes, I have a good idea",On short-term contract which does not offer medical aid;Currently unemployed ,5.0,My employer covering part or all of the cost;A recommendation from someone I trust,"Above N$2,000",Hospitalisation;Mental health support;Emergency cover,Affordability ,Neutral
25-30,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Amber;Opal;Jade;Ruby,Somewhat negative,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Maternity cover,The lack of information towards medical aid plans and the usage of the benefits. Medical aids don’t spend enough time exposing how benefits can be used and best maximized thus creating this negative narrative that medical aid is expensive and ineffective ,Positive
25-30,Employed full-time,"Above N$20,000",Other urban area,Yes,Yes,Topaz;Topaz Plus;Ruby,Neutral,I have heard figures but I am not sure,,,,,Doctor visits;Chronic medication;Mental health support,Too expensive ,Negative
31-35,Employed full-time,"Under N$5,000",Other urban area,No,No,,,I have heard figures but I am not sure,Too expensive;My employer does not offer it,3.0,A better understanding of the benefits;A recommendation from someone I trust;A promotional offer or incentive,Under N$500,Doctor visits,Because they can't afford it,Neutral
25-30,Employed full-time,"Above N$20,000",Rural area,Yes,Yes,Emerald,Neutral,"Yes, I have a good idea",Too expensive,,My employer covering part or all of the cost,"N$500 - N$1,000",Doctor visits;Hospitalisation;Chronic medication;Emergency cover,Many Namibians have underlying conditions. ,Positive
31-35,Employed part-time,"Under N$5,000",Other urban area,No,Yes,Topaz Plus,Somewhat positive,I have heard figures but I am not sure,Too expensive,1.0,My employer covering part or all of the cost,"N$500 - N$1,000",Doctor visits;Hospitalisation;Dental;Optical;Maternity cover;Emergency cover,"It’s too expensive,and most companies do not pay a part of the medical aid to atleast lessen the burden on the pocket. ",Positive
25-30,Employed full-time,"N$10,000 - N$25,000",Rural area,No,No,,,I have heard figures but I am not sure,I have never thought about it,5.0,A better understanding of the benefits,Under N$500,Doctor visits;Hospitalisation;Mental health support,They think they are still young and healthy and don't want deductions of that,Positive
25-30,Employed full-time,"Above N$20,000",Other urban area,Yes,No,None of the above,I have never heard of them,"Yes, I have a good idea",,,,,Hospitalisation;Chronic medication;Emergency cover,They are uneducated ,Neutral
31-35,Employed full-time,"Under N$5,000",Other urban area,No,Yes,Ruby,Very positive,"Yes, I have a good idea",My employer does not offer it,5.0,Lower monthly cost,Under N$500,Doctor visits;Dental;Optical,It's expensive or we have low income to afford it,Negative
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Jade,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Optical;Maternity cover,It’s very expensive and not all medical aid covers most of the things we want it to be covered ,Negative
18-24,Unemployed,"Under N$5,000",Other urban area,No,No,,,,,1.0,Other,Under N$500,Doctor visits,Too expensive ,Negative
18-24,Unemployed,"Under N$5,000",Other urban area,No,No,,,I have heard figures but I am not sure,Too expensive,5.0,Lower monthly cost,Under N$500,Chronic medication;Maternity cover;Emergency cover,Most of them are unemployed and can't afford it.,Positive
Prefer not to say,Employed full-time,"N$5,000 - N$10,000",Khomas Region,Yes,Yes,Ruby,Very positive,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Emergency cover,Because they can't afford. ,Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby,Somewhat positive,"No, I have no idea",,,,,Hospitalisation;Chronic medication;Maternity cover;Emergency cover,It is expensive. The high costs and the fact that you still have to top up on certain costs feels like a scam. ,Positive
18-24,Employed part-time,"N$5,000 - N$10,000",Other urban area,No,Maybe,Ruby,Neutral,"No, I have no idea",Too expensive;I do not fully understand how it works,3.0,Lower monthly cost;My employer covering part or all of the cost;A better understanding of the benefits,Under N$500,Hospitalisation;Mental health support;Emergency cover,It seems complicated,Negative
18-24,Student,Prefer not to say,Other urban area,No,Maybe,,,I have heard figures but I am not sure,On short-term contract which does not offer medical aid,5.0,A better understanding of the benefits,Under N$500,Doctor visits;Dental;Mental health support,Many young Namibians avoid medical aid because they see it as too expensive and unnecessary while they are still healthy. They often prefer to spend money on immediate needs and only think about healthcare when they actually get sick.,Negative
25-30,Unemployed,Prefer not to say,Khomas Region,No,No,,,"No, I have no idea",I am unemployed and I think I cant afford one.,2.0,Other,"N$500 - N$1,000",Hospitalisation;Maternity cover;Emergency cover,They avoid it because they think it's expensive. ,Negative
25-30,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,,,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Maternity cover;Mental health support,Too expensive ,Negative
18-24,Self-employed,"Under N$5,000",Khomas Region,No,Yes,Topaz;Emerald;Jade;Ruby,Somewhat positive,I have heard figures but I am not sure,My employer does not offer it,3.0,A better understanding of the benefits,"N$500 - N$1,000",Doctor visits;Dental;Optical;Emergency cover,"Young Namibians avoid medical aid, 1. They have no understanding of how it works nor have some been educated on it. 2. They deem it as an expense that takes away more than one that benefits you in the long run.",Positive
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Neutral,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Chronic medication;Maternity cover;Mental health support;Emergency cover,"It is too expensive and you don’t necessarily need all the benefits monthly.
The copayment is much more than what the medical aid pays. You spend way more on specialist and your medical aid only pays 10%.
",Positive
25-30,Employed full-time,"N$10,000 - N$25,000",Rural area,Yes,No,,,"Yes, I have a good idea",,,,,Doctor visits;Dental;Emergency cover,Simply beacause of the high costs.,Positive
31-35,Self-employed,"N$5,000 - N$10,000",Khomas Region,No,Yes,None of the above,,"No, I have no idea",Not sure self employed can take medical aid,5.0,Lower monthly cost;A better understanding of the benefits;More flexible or customisable plan;A promotional offer or incentive;Other,"N$500 - N$1,000",Doctor visits;Hospitalisation;Dental;Optical;Maternity cover;Mental health support;Emergency cover,"Because most are either self employed or not employed and rates are too high for those that are self employed,smaller packages for the self l-employed would really push us to get medical aids ",Positive
31-35,Self-employed,"N$5,000 - N$10,000",Khomas Region,No,Yes,Emerald Plus,Somewhat negative,"Yes, I have a good idea",Too expensive,1.0,Other,"N$1,000 - N$2,000",Doctor visits;Hospitalisation;Dental;Optical;Mental health support;Emergency cover,They are expensive and the service at MNC is horrible. They do not respond to emails. If they do they will refer you to someone who wont.,Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,No,,,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Maternity cover,"Probably because of ignorance, they don’t take sickness that serious.",Negative
25-30,Unemployed,Prefer not to say,Other urban area,No,No,,,"No, I have no idea","I am not employed at the moment, I cannot afford it.",2.0,A recommendation from someone I trust,Under N$500,Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,Due to the fact that they are very much ignorant and sometimes they not well informed about medical aids.,Positive
31-35,Employed full-time,"Above N$20,000",Other urban area,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,Because it’s quite pricey ,Neutral
31-35,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Emerald;Amber;Jade;Ruby,Neutral,"Yes, I have a good idea",,,,"N$500 - N$1,000",Hospitalisation,Cost us too high ,Positive
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Neutral,"Yes, I have a good idea",Too expensive,3.0,Lower monthly cost,"N$1,000 - N$2,000",Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,Too expensive ,Negative
Prefer not to say,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,No,,,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,"Because it's expensive and most can't afford it and benefits are also low, compare to the contribution amount per month",Neutral
25-30,Unemployed,"Under N$5,000",Khomas Region,No,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Very positive,I have heard figures but I am not sure,Too expensive;My employer does not offer it;On short-term contract which does not offer medical aid,1.0,Lower monthly cost;My employer covering part or all of the cost;A promotional offer or incentive,Under N$500,Doctor visits;Dental;Optical,Because they can't afford it.,Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Rural area,Yes,Yes,None of the above,Neutral,"No, I have no idea",,,More flexible or customisable plan,Under N$500,Doctor visits;Chronic medication,"In this economy, it’s a luxury my dear",Neutral
25-30,Employed part-time,"Under N$5,000",Other urban area,No,No,,I have never heard of them,I have heard figures but I am not sure,My employer does not offer it,3.0,Lower monthly cost;A better understanding of the benefits;More flexible or customisable plan;A recommendation from someone I trust,Under N$500,Doctor visits;Chronic medication;Emergency cover,They can't afford ,Neutral
18-24,Student,"Under N$5,000",Other urban area,No,No,,,I have heard figures but I am not sure,I have never thought about it,3.0,A better understanding of the benefits,"N$500 - N$1,000",Optical;Maternity cover,Less knowledge on the benefits of it ,Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,No,Yes,Topaz;Topaz Plus;Emerald,Neutral,I have heard figures but I am not sure,My employer does not offer it,3.0,Lower monthly cost,"N$500 - N$1,000",Doctor visits;Dental;Mental health support,Too expensive when employer does not cover much of the payment or at all sometimes ,Negative
25-30,Unemployed,"Under N$5,000",Khomas Region,No,Yes,None of the above,Neutral,I have heard figures but I am not sure,Too expensive,2.0,Lower monthly cost,Under N$500,Doctor visits,Too costly ,Neutral
25-30,Student,"Under N$5,000",Khomas Region,No,No,,,I have heard figures but I am not sure,Too expensive;I do not fully understand how it works;My employer does not offer it,2.0,Lower monthly cost;A better understanding of the benefits;A recommendation from someone I trust,Under N$500,Hospitalisation;Maternity cover;Emergency cover,Because of negative peer influence towards health. They mostly believe the government is there to provide incase of health emergencies,Positive
25-30,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,Yes,Jade,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Dental;Emergency cover,They think it’s a waste of money cause they are not thinking about the unforeseen future.  ,Negative
31-35,Self-employed,"N$5,000 - N$10,000",Khomas Region,No,Yes,Topaz Plus;Emerald;Jade,Neutral,I have heard figures but I am not sure,I use alternatives like cash or pay for health insurance,5.0,More flexible or customisable plan,Under N$500,Hospitalisation;Dental;Optical;Maternity cover;Mental health support;Emergency cover,The nutrition we consume is not as it was back in the day & can affect us more in the long term. ,Positive
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,None of the above,Neutral,"Yes, I have a good idea",,5.0,,,Doctor visits;Hospitalisation;Dental;Emergency cover,They mostly avoid them because of the stigma of high cost involved and the fact that people assume they don’t get sick so they don’t need to be paying such high bills for nothing. ,Positive
18-24,Student,"Under N$5,000",Khomas Region,Yes,Yes,Emerald,Neutral,"No, I have no idea",,4.0,,"N$500 - N$1,000",Doctor visits;Optical;Emergency cover,Because of the cost of it,Neutral
25-30,Employed full-time,"N$5,000 - N$10,000",Other urban area,No,No,,,I have heard figures but I am not sure,My employer does not offer it,3.0,More flexible or customisable plan,Under N$500,Doctor visits,I believe they are not well informed about the benefits and as it is they would be more discouraged by the new government system of civil servants also using public hospitals for medical treatment. Due to some employers not offering the such benefits they tent to believe that it would be expensive to add medical aid benefits on their salaries.,Positive
31-35,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,No,,,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Maternity cover,It is expensive.,Negative
25-30,Student,"Under N$5,000",Khomas Region,No,No,,,"No, I have no idea",Too expensive,3.0,Lower monthly cost;My employer covering part or all of the cost;A better understanding of the benefits;More flexible or customisable plan;A recommendation from someone I trust;A promotional offer or incentive,Under N$500,Doctor visits;Dental;Optical;Maternity cover,Because they can’t afford it and also poor understanding of how medical aid works ,Negative
31-35,Employed full-time,"N$5,000 - N$10,000",Khomas Region,No,Yes,Ruby,Somewhat positive,I have heard figures but I am not sure,On short-term contract which does not offer medical aid,5.0,A better understanding of the benefits,"N$500 - N$1,000",Hospitalisation;Maternity cover,Not educated about it,Neutral
18-24,Student,"Under N$5,000",Khomas Region,No,Yes,Opal,Neutral,"No, I have no idea",Too expensive,1.0,A better understanding of the benefits,Under N$500,Dental,Because its expensive ,Negative
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,Yes,Yes,Topaz Plus,Neutral,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Dental;Maternity cover;Emergency cover,Financial inability and unemployment ,Neutral
18-24,Student,"Under N$5,000",Khomas Region,No,No,None of the above,I have never heard of them,"No, I have no idea",Too expensive,1.0,Lower monthly cost,Under N$500,Doctor visits;Hospitalisation;Chronic medication;Mental health support;Emergency cover,The cost is too high,Positive
